PAGINA_PDF;INDICE_LIDO_NA_IMAGEM;STATUS_ORDEM;QUALIDADE_NITIDEZ
242;1;ERRO: Leu 1, esperava 2;BOA
243;;DÚVIDA (Não lido). Esperado: 2;BOA
244;2;ERRO: Leu 2, esperava 3;BOA
245;;DÚVIDA (Não lido). Esperado: 3;BOA
246;;DÚVIDA (Não lido). Esperado: 4;BOA
247;;DÚVIDA (Não lido). Esperado: 5;BOA
248;4;ERRO: Leu 4, esperava 6;BOA
249;;DÚVIDA (Não lido). Esperado: 5;BOA
250;;DÚVIDA (Não lido). Esperado: 6;BOA
251;;DÚVIDA (Não lido). Esperado: 7;BOA
252;14;ERRO: Leu 14, esperava 8;BOA
253;;DÚVIDA (Não lido). Esperado: 15;BOA
254;;DÚVIDA (Não lido). Esperado: 16;BOA
255;;DÚVIDA (Não lido). Esperado: 17;BOA
256;0;ERRO: Leu 0, esperava 18;BOA
257;2;ERRO: Leu 2, esperava 1;BOA
258;100;ERRO: Leu 100, esperava 3;BOA
259;0;ERRO: Leu 0, esperava 101;BOA
260;;DÚVIDA (Não lido). Esperado: 1;BOA
261;0;ERRO: Leu 0, esperava 2;BOA
262;;DÚVIDA (Não lido). Esperado: 1;BOA
263;;DÚVIDA (Não lido). Esperado: 2;BOA
264;;DÚVIDA (Não lido). Esperado: 3;BOA
265;0;ERRO: Leu 0, esperava 4;BOA
266;2;ERRO: Leu 2, esperava 1;BOA
267;2;ERRO: Leu 2, esperava 3;BOA
268;;DÚVIDA (Não lido). Esperado: 3;BOA
269;2;ERRO: Leu 2, esperava 4;BOA
270;;DÚVIDA (Não lido). Esperado: 3;BOA
271;;DÚVIDA (Não lido). Esperado: 4;BOA
272;4;ERRO: Leu 4, esperava 5;BOA
273;;DÚVIDA (Não lido). Esperado: 5;BOA
274;0;ERRO: Leu 0, esperava 6;BOA
275;2;ERRO: Leu 2, esperava 1;BOA
276;;DÚVIDA (Não lido). Esperado: 3;BOA
277;0;ERRO: Leu 0, esperava 4;BOA
278;;DÚVIDA (Não lido). Esperado: 1;BOA
279;;DÚVIDA (Não lido). Esperado: 2;BOA
280;;DÚVIDA (Não lido). Esperado: 3;BOA
281;;DÚVIDA (Não lido). Esperado: 4;BOA
282;;DÚVIDA (Não lido). Esperado: 5;BOA
283;0;ERRO: Leu 0, esperava 6;BOA
284;;DÚVIDA (Não lido). Esperado: 1;BOA
